,ASVno,totalcount,Rel.abun,taxonomy,Genera
ASV_1095,ASV_1095,203,0.013224334,Fungi;Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Acrospermum;,Fungi;Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Acrospermum
ASV_1096,ASV_1096,203,0.013224334,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Agaricus;Agaricus devoniensis ,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Agaricus
ASV_1100,ASV_1100,203,0.013224334,Fungi;Ascomycota;Pezizomycetes;Pezizales;;Trichobolus;,Fungi;Ascomycota;Pezizomycetes;Pezizales;;Trichobolus
ASV_1101,ASV_1101,203,0.013224334,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;;,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;
ASV_1102,ASV_1102,202,0.013159189,Fungi;Ascomycota;Eurotiomycetes;Aspergillaceae;Penicillium;Penicillium corylophilum ;,Fungi;Ascomycota;Eurotiomycetes;Aspergillaceae;Penicillium;Penicillium corylophilum 
ASV_1103,ASV_1103,202,0.013159189,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Cyphellophoraceae;Cyphellophora;,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Cyphellophoraceae;Cyphellophora
ASV_1105,ASV_1105,202,0.013159189,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora
ASV_1106,ASV_1106,201,0.013094045,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium
ASV_1107,ASV_1107,201,0.013094045,Fungi;Chytridiomycota;Spizellomycetes;Spizellomycetales;;;,Fungi;Chytridiomycota;Spizellomycetes;Spizellomycetales;;
ASV_1108,ASV_1108,201,0.013094045,Fungi;Ascomycota;;;;;,Fungi;Ascomycota;;;;
ASV_1109,ASV_1109,201,0.013094045,Fungi;;;;;;,Fungi;;;;;
ASV_1112,ASV_1112,201,0.013094045,Fungi;Ascomycota;Dothideomycetes;Pleosporales;;Shiraia;,Fungi;Ascomycota;Dothideomycetes;Pleosporales;;Shiraia
ASV_1113,ASV_1113,201,0.013094045,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
ASV_1114,ASV_1114,201,0.013094045,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
ASV_1115,ASV_1115,200,0.0130289,Fungi;Ascomycota;Sordariomycetes;Sordariales;;;,Fungi;Ascomycota;Sordariomycetes;Sordariales;;
ASV_1116,ASV_1116,200,0.0130289,Fungi;;;;;;,Fungi;;;;;
ASV_1117,ASV_1117,200,0.0130289,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora;Hanseniaspora valbyensis ,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora
ASV_1118,ASV_1118,200,0.0130289,Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia restricta ,Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia
ASV_1119,ASV_1119,200,0.0130289,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma;,Fungi;Basidiomycota;Cystobasidiomycetes;;Buckleyzymaceae;Buckleyzyma
ASV_1120,ASV_1120,200,0.0130289,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma;,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma
ASV_1121,ASV_1121,200,0.0130289,Fungi;Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Acrospermum;,Fungi;Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Acrospermum
ASV_1123,ASV_1123,199,0.012963756,Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia restricta ,Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia
